Gender,Sociodemographic,Indicators,Q4_2023,Q4_2024
,,Confidence in the Federal Parliament rating of 3 ,35.7,34.7
,,Confidence in the Federal Parliament rating of 4 or 5 ,27.9,26.6
,,Confidence in the Canadian media rating of 1 or 2 ,25.9,29.5
,,Confidence in the Canadian media rating of 3 ,38,34.6
,,Confidence in the Canadian media rating of 4 or 5 ,36,35.9
,55 to 64 years,Confidence in the police rating of 1 or 2 ,7.8,10.2
,,Confidence in the police rating of 3 ,21.7,22.7
,,Confidence in the police rating of 4 or 5 ,70.5,67
,,Confidence in the justice system and courts rating of 1 or 2 ,17,22.6
,,Confidence in the justice system and courts rating of 3 ,33.4,31.1
,,Confidence in the justice system and courts rating of 4 or 5 ,49.6,46.4
,,Confidence in the school system rating of 1 or 2 ,19.4,20.9
,,Confidence in the school system rating of 3 ,34,36
,,Confidence in the school system rating of 4 or 5 ,46.7,43.1
,,Confidence in the Federal Parliament rating of 1 or 2 ,36.4,41.8
,,Confidence in the Federal Parliament rating of 3 ,37.3,32.3
,,Confidence in the Federal Parliament rating of 4 or 5 ,26.3,25.9
,,Confidence in the Canadian media rating of 1 or 2 ,22,26.3
,,Confidence in the Canadian media rating of 3 ,38.9,38.7
,,Confidence in the Canadian media rating of 4 or 5 ,39,35
,65 years and over,Confidence in the police rating of 1 or 2 ,6.9,5
,,Confidence in the police rating of 3 ,17.4,15.4
,,Confidence in the police rating of 4 or 5 ,75.7,79.6
,,Confidence in the justice system and courts rating of 1 or 2 ,17.7,17.7
,,Confidence in the justice system and courts rating of 3 ,31.4,30.4
,,Confidence in the justice system and courts rating of 4 or 5 ,50.9,51.9
,,Confidence in the school system rating of 1 or 2 ,16.5,14.7
,,Confidence in the school system rating of 3 ,33.1,32.7
,,Confidence in the school system rating of 4 or 5 ,50.4,52.6
,,Confidence in the Federal Parliament rating of 1 or 2 ,33.9,31.5
,,Confidence in the Federal Parliament rating of 3 ,32.6,34.9
,,Confidence in the Federal Parliament rating of 4 or 5 ,33.6,33.6
,,Confidence in the Canadian media rating of 1 or 2 ,19.7,19.1
,,Confidence in the Canadian media rating of 3 ,36.3,34.7
,,Confidence in the Canadian media rating of 4 or 5 ,44,46.2
,"Total, by immigrant status",Confidence in the police rating of 1 or 2 ,11.5,13.2
,,Confidence in the police rating of 3 ,23.4,21.5
,,Confidence in the police rating of 4 or 5 ,65.1,65.4
